transaction_id,customer_id,age,income,transaction_amount,transaction_type,merchant_category,credit_score,account_balance,is_fraud
T00026,C0294,30,105925,4713.02,Online Purchase,Electronics,338,9054.32,1
T00027,C0386,30,60197,218.97,Bank Transfer,Groceries,472,1368.49,0
T00028,C0192,35,22261,2234.7,Online Purchase,Fashion,316,2066.54,0
T00029,C0444,49,138424,354.67,ATM Withdrawal,Utilities,355,29416.87,0
T00030,C0277,49,113905,3647.53,POS Swipe,Dining,525,3175.93,0
T00031,C0161,52,46512,3044.0,Online Purchase,Dining,366,47931.43,1
T00032,C0460,56,26716,3534.64,POS Swipe,Electronics,496,7182.47,0
T00033,C0314,63,106795,1875.53,Online Purchase,Dining,322,15305.67,0
T00034,C0022,69,48933,1850.56,Online Purchase,Dining,536,41143.64,0
T00035,C0253,46,127225,231.37,Online Purchase,Fashion,437,11015.14,1
T00036,C0236,66,24378,1752.97,Online Purchase,Fashion,772,12224.13,0
T00037,C0345,46,60583,4646.8,Online Purchase,Fashion,528,32151.22,0
T00038,C0049,61,132082,1899.24,POS Swipe,Groceries,616,13876.7,0
T00039,C0475,33,105371,4157.68,Online Purchase,Dining,500,10950.64,0
T00040,C0059,61,49033,4212.42,POS Swipe,Dining,557,12783.47,0
T00041,C0170,64,44000,1869.34,ATM Withdrawal,Dining,779,24583.31,0
T00042,C0476,27,131032,3161.78,Bank Transfer,Travel,477,48308.38,0
T00043,C0188,47,95868,481.38,Online Purchase,Fashion,422,41628.67,0
T00044,C0464,42,62604,522.87,Bank Transfer,Utilities,641,14302.05,0
T00045,C0271,56,88336,248.05,POS Swipe,Electronics,470,18232.32,0
T00046,C0190,37,115074,2907.17,ATM Withdrawal,Utilities,358,23279.16,0
T00047,C0446,22,115655,2133.22,ATM Withdrawal,Groceries,764,48948.59,0
T00048,C0175,18,93869,2742.42,ATM Withdrawal,Groceries,559,8702.28,0
T00049,C0446,47,25410,2607.76,Bank Transfer,Dining,672,17938.41,0
T00050,C0051,66,103375,1754.26,POS Swipe,Utilities,394,36498.36,0
T00051,C0364,20,76044,3388.98,Online Purchase,Dining,424,48200.79,1
T00052,C0055,62,83315,3793.72,Online Purchase,Travel,340,7868.19,1
T00053,C0244,31,116055,78.07,POS Swipe,Groceries,553,11446.26,0
T00054,C0320,47,91344,1040.18,Bank Transfer,Groceries,306,11362.16,0
T00055,C0131,67,26796,3567.61,Online Purchase,Utilities,770,1144.51,0
T00056,C0485,21,106716,1936.17,POS Swipe,Groceries,810,30245.37,0
T00057,C0307,35,74245,3314.11,Online Purchase,Travel,368,33568.08,0
T00058,C0135,54,63056,1738.08,ATM Withdrawal,Travel,380,30166.04,0
T00059,C0021,42,37709,1956.82,Online Purchase,Travel,841,3659.02,0
T00060,C0329,65,139664,797.6,Bank Transfer,Electronics,561,3554.58,0
T00061,C0167,18,78557,1294.86,POS Swipe,Travel,388,10598.29,0
T00062,C0274,63,37543,3029.03,Bank Transfer,Travel,507,14585.7,1
T00063,C0388,32,57418,2168.65,POS Swipe,Electronics,512,39348.53,0
T00064,C0089,26,114611,3872.64,ATM Withdrawal,Dining,565,8053.57,0
T00065,C0316,32,123291,4263.66,POS Swipe,Fashion,592,2300.2,0
T00066,C0014,66,133504,2710.52,Online Purchase,Groceries,506,19759.98,0
T00067,C0242,41,123001,3792.55,Online Purchase,Travel,632,20877.97,1
T00068,C0265,21,116038,1537.99,ATM Withdrawal,Groceries,376,22600.28,1
T00069,C0346,29,36724,2077.78,POS Swipe,Utilities,587,41362.49,0
T00070,C0053,54,23828,3565.32,ATM Withdrawal,Groceries,346,4990.47,0
T00071,C0386,54,136656,1934.13,Online Purchase,Dining,499,35226.71,0
T00072,C0340,60,37087,2944.58,Bank Transfer,Electronics,726,16963.48,0
T00073,C0092,23,32605,930.94,ATM Withdrawal,Groceries,509,15568.01,0
T00074,C0367,56,51337,3000.86,Bank Transfer,Groceries,719,46633.9,0
T00075,C0444,63,25482,4308.26,Bank Transfer,Groceries,453,12498.58,0
T00076,C0455,41,85333,4343.86,POS Swipe,Fashion,821,32162.34,0
T00077,C0428,28,112541,3623.1,ATM Withdrawal,Fashion,714,13828.88,0
T00078,C0264,30,108296,3730.04,Bank Transfer,Utilities,652,25406.48,0
T00079,C0431,51,70952,2791.85,Bank Transfer,Electronics,456,39336.02,0
T00080,C0035,42,25463,2925.42,POS Swipe,Groceries,560,44097.95,0
T00081,C0206,24,132164,672.58,POS Swipe,Groceries,376,41950.99,0
T00082,C0081,69,90448,2222.08,Online Purchase,Groceries,787,29150.82,0
T00083,C0420,21,24648,2256.63,Bank Transfer,Groceries,430,12515.93,1
T00084,C0050,25,53623,4792.7,Online Purchase,Fashion,754,33095.55,1
T00085,C0360,37,79156,2158.28,Bank Transfer,Dining,462,35524.26,1
T00086,C0388,46,55634,2748.97,Online Purchase,Dining,314,633.53,0
T00087,C0002,68,64602,2668.59,POS Swipe,Utilities,531,22016.6,0
T00088,C0390,62,134598,3185.62,ATM Withdrawal,Travel,494,42178.78,1
T00089,C0054,63,69334,3742.42,POS Swipe,Electronics,841,24530.42,0
T00090,C0106,27,88648,1129.08,Online Purchase,Dining,658,15637.63,0
T00091,C0260,60,42054,2645.98,Online Purchase,Groceries,630,43602.71,0
T00092,C0310,51,90028,4130.46,ATM Withdrawal,Dining,726,7878.45,0
T00093,C0477,43,42207,2318.26,Bank Transfer,Utilities,796,10401.62,0
T00094,C0191,58,100650,1395.9,Online Purchase,Travel,785,34399.88,1
T00095,C0402,66,119821,3275.27,Online Purchase,Dining,748,17686.55,0
T00096,C0218,20,101554,4119.72,Online Purchase,Utilities,712,35679.54,1
T00097,C0044,23,41386,320.39,ATM Withdrawal,Fashion,629,7969.41,0
T00098,C0162,22,103276,3885.07,POS Swipe,Travel,446,12688.23,0
T00099,C0202,22,79518,4109.13,Online Purchase,Utilities,558,7916.7,0
T00100,C0446,64,72781,2310.31,ATM Withdrawal,Dining,591,47650.22,0
T00101,C0484,40,72780,4916.61,Online Purchase,Fashion,442,20329.66,0
T00102,C0270,66,81440,3934.61,Bank Transfer,Utilities,664,16927.27,1
T00103,C0351,26,64199,3869.44,ATM Withdrawal,Utilities,389,808.69,0
T00104,C0304,52,81035,3740.45,Online Purchase,Dining,463,7755.54,0
T00105,C0271,37,28210,757.29,ATM Withdrawal,Travel,780,21114.68,0
T00106,C0456,66,64363,1090.07,Online Purchase,Fashion,383,3518.29,0
T00107,C0462,59,131175,2322.63,POS Swipe,Groceries,376,25585.89,0
T00108,C0215,52,98279,1323.7,Online Purchase,Electronics,816,22805.27,0
T00109,C0252,67,80348,2079.13,ATM Withdrawal,Travel,784,38381.69,0
T00110,C0190,35,75284,4442.88,Bank Transfer,Fashion,403,33024.15,0
T00111,C0296,34,127628,4122.51,Bank Transfer,Utilities,751,22352.77,0
T00112,C0213,41,129835,3152.05,Bank Transfer,Fashion,786,11310.57,0
T00113,C0208,20,92124,4291.31,Online Purchase,Electronics,638,36370.49,0
T00114,C0237,49,88847,3919.94,POS Swipe,Dining,777,35422.32,0
T00115,C0338,52,42432,2147.78,Online Purchase,Electronics,522,7749.48,0
T00116,C0367,55,146252,1009.32,Bank Transfer,Groceries,308,45746.12,0
T00117,C0053,30,84089,2573.43,ATM Withdrawal,Groceries,352,3313.82,1
T00118,C0280,64,75398,3682.46,Bank Transfer,Electronics,376,2846.38,0
T00119,C0410,42,119291,2184.92,ATM Withdrawal,Travel,802,9448.79,0
T00120,C0217,26,23321,3335.53,POS Swipe,Travel,615,45482.09,0
T00121,C0252,21,101348,476.17,ATM Withdrawal,Utilities,464,26047.91,1
T00122,C0188,31,57383,3741.28,Online Purchase,Groceries,578,39418.25,0
T00123,C0380,54,133816,4064.5,Online Purchase,Utilities,326,11469.38,1
T00124,C0493,51,98682,3535.66,Online Purchase,Groceries,369,24562.08,0
T00125,C0041,28,143053,4836.48,ATM Withdrawal,Electronics,517,17978.64,0
T00126,C0157,58,99190,4134.13,Online Purchase,Travel,664,41408.65,0
T00127,C0015,20,72893,4515.95,Online Purchase,Travel,605,1227.96,0
T00128,C0301,45,55820,4668.19,Online Purchase,Electronics,423,12267.75,1
T00129,C0065,46,141262,4007.73,POS Swipe,Utilities,318,7713.45,1
T00130,C0345,26,86262,3372.92,ATM Withdrawal,Utilities,556,42973.53,0
T00131,C0327,20,23760,33.56,ATM Withdrawal,Fashion,595,23430.44,0
T00132,C0009,42,42190,2331.8,Bank Transfer,Groceries,321,20270.58,0
T00133,C0344,51,87411,2857.96,ATM Withdrawal,Utilities,749,22529.19,0
T00134,C0129,29,43377,1523.63,POS Swipe,Electronics,849,48599.04,0
T00135,C0492,59,66737,1593.93,ATM Withdrawal,Utilities,347,42528.34,0
T00136,C0136,26,89569,4805.99,POS Swipe,Travel,482,35347.8,0
T00137,C0472,32,58211,4459.1,POS Swipe,Groceries,734,14594.9,0
T00138,C0063,57,102909,4246.65,ATM Withdrawal,Dining,406,8342.13,0
T00139,C0139,42,23744,2033.03,Bank Transfer,Fashion,487,46079.54,0
T00140,C0499,22,145566,73.42,Online Purchase,Groceries,385,21211.47,0
T00141,C0081,28,44995,405.71,Online Purchase,Travel,755,14009.91,0
T00142,C0392,51,36977,1564.42,ATM Withdrawal,Travel,436,23598.95,1
T00143,C0163,41,149508,83.64,ATM Withdrawal,Travel,635,45900.59,0
T00144,C0419,32,117938,90.66,POS Swipe,Travel,768,19414.66,0
T00145,C0289,55,54542,4583.43,ATM Withdrawal,Electronics,702,28175.79,0
T00146,C0379,25,30651,3532.26,POS Swipe,Fashion,839,40168.02,0
T00147,C0261,22,119239,1548.24,Bank Transfer,Dining,371,21413.91,0
T00148,C0490,65,98931,667.56,ATM Withdrawal,Travel,323,11753.74,0
T00149,C0231,43,115344,2560.62,Online Purchase,Travel,784,49726.83,0
T00150,C0041,35,122112,31.7,Online Purchase,Utilities,355,47832.89,0
T00151,C0028,23,36715,4692.38,ATM Withdrawal,Fashion,522,42189.61,0
T00152,C0135,54,64409,2077.0,POS Swipe,Groceries,478,34449.86,1
T00153,C0201,65,44306,2014.66,Online Purchase,Fashion,733,14813.79,0
T00154,C0328,30,39086,1956.02,POS Swipe,Fashion,749,45679.31,0
T00155,C0268,45,34376,351.3,ATM Withdrawal,Dining,791,13850.28,0
T00156,C0418,22,81350,3193.42,ATM Withdrawal,Fashion,488,40060.39,0
T00157,C0033,30,91425,3666.35,Online Purchase,Dining,719,45921.08,0
T00158,C0048,34,123358,3382.25,ATM Withdrawal,Travel,548,30189.89,0
T00159,C0407,67,56636,696.49,Bank Transfer,Travel,463,40172.51,0
T00160,C0062,57,106120,2896.31,Bank Transfer,Electronics,554,39605.59,0
T00161,C0216,62,134889,2849.57,Online Purchase,Dining,775,9738.57,0
T00162,C0293,49,71649,4342.71,Bank Transfer,Dining,716,33429.43,0
T00163,C0099,46,54610,1898.74,POS Swipe,Groceries,469,4764.05,0
T00164,C0172,68,30058,1860.57,Online Purchase,Utilities,616,25441.72,0
T00165,C0360,20,144876,3094.54,Online Purchase,Fashion,473,8195.55,1
T00166,C0214,57,148265,3167.2,POS Swipe,Groceries,769,20875.84,0
T00167,C0475,51,94637,2349.08,Bank Transfer,Dining,644,41665.81,0
T00168,C0035,57,98033,2218.08,Bank Transfer,Groceries,744,49359.68,0
T00169,C0449,44,90194,2473.27,Bank Transfer,Electronics,317,15966.2,0
T00170,C0227,30,96917,4305.92,Online Purchase,Utilities,369,26644.59,1
T00171,C0101,62,84200,2308.53,Online Purchase,Dining,637,25613.77,0
T00172,C0431,50,125848,4699.96,Bank Transfer,Dining,826,47724.64,0
T00173,C0462,23,126022,2522.5,ATM Withdrawal,Fashion,755,23981.33,0
T00174,C0131,41,66619,4746.26,Bank Transfer,Utilities,568,34985.4,0
T00175,C0257,36,37154,4165.0,POS Swipe,Electronics,487,46097.28,0
T00176,C0005,33,39539,1815.34,Online Purchase,Travel,828,18731.59,1
T00177,C0218,57,145381,4318.89,POS Swipe,Groceries,733,45115.9,0
T00178,C0255,45,80058,554.77,POS Swipe,Fashion,587,45881.07,0
T00179,C0398,50,82068,4625.61,Online Purchase,Dining,798,46540.06,0
T00180,C0359,65,97313,3160.06,ATM Withdrawal,Travel,740,13595.26,0
T00181,C0283,58,119932,276.68,Bank Transfer,Electronics,602,20077.74,0
T00182,C0393,30,50373,3223.06,POS Swipe,Utilities,386,43532.76,0
T00183,C0207,60,53154,4871.37,Online Purchase,Groceries,737,18022.18,0
T00184,C0015,62,26031,353.65,POS Swipe,Fashion,840,30052.63,0
T00185,C0346,42,113533,2775.67,Bank Transfer,Dining,321,5990.92,1
T00186,C0042,59,91975,3740.23,ATM Withdrawal,Dining,816,2908.12,0
T00187,C0380,53,42785,4052.24,ATM Withdrawal,Travel,802,20658.5,0
T00188,C0461,44,98928,2072.07,ATM Withdrawal,Travel,766,28987.93,0
T00189,C0179,55,138696,1024.81,Online Purchase,Groceries,400,19695.69,1
T00190,C0063,24,48669,216.5,Online Purchase,Utilities,440,28929.01,1
T00191,C0352,22,114475,2900.73,ATM Withdrawal,Electronics,437,25802.71,0
T00192,C0231,60,137154,2267.29,Bank Transfer,Utilities,527,34316.79,0
T00193,C0241,62,22282,4743.98,Bank Transfer,Utilities,580,32511.67,0
T00194,C0052,68,54624,307.72,Online Purchase,Utilities,730,21269.86,0
T00195,C0096,48,68438,3428.55,ATM Withdrawal,Groceries,339,21307.26,0
T00196,C0388,40,109900,129.71,Bank Transfer,Groceries,818,7124.84,0
T00197,C0222,59,87534,861.31,Bank Transfer,Electronics,510,25710.6,0
T00198,C0485,27,51705,2270.63,Bank Transfer,Utilities,601,29400.24,0
T00199,C0407,49,58244,2277.09,Online Purchase,Groceries,385,23876.82,0
T00200,C0231,60,94964,3430.07,ATM Withdrawal,Electronics,696,16352.8,1
T00201,C0237,47,57437,4551.51,POS Swipe,Dining,552,36110.26,0
T00202,C0143,56,97872,3196.97,ATM Withdrawal,Electronics,832,3825.62,0
T00203,C0171,48,94878,4767.91,ATM Withdrawal,Utilities,680,45730.57,0
T00204,C0029,35,139006,4408.67,Online Purchase,Fashion,743,1130.11,0
T00205,C0036,53,125368,2924.58,Bank Transfer,Utilities,332,48121.27,0
T00206,C0013,19,92982,4169.79,Bank Transfer,Fashion,559,23171.54,1
T00207,C0160,31,70583,3214.68,Online Purchase,Electronics,533,20692.23,0
T00208,C0327,30,58392,397.4,Online Purchase,Dining,814,12896.56,0
T00209,C0187,46,27461,3704.12,Online Purchase,Dining,607,602.55,0
T00210,C0243,29,120123,479.07,Online Purchase,Groceries,369,13812.03,0
T00211,C0086,56,30516,2972.44,Online Purchase,Dining,753,5559.06,0
T00212,C0284,19,99285,3514.69,POS Swipe,Travel,738,33025.06,0
T00213,C0066,49,37514,337.31,ATM Withdrawal,Electronics,663,16021.84,0
T00214,C0170,30,148657,1157.82,ATM Withdrawal,Groceries,780,38382.25,0
T00215,C0045,63,141251,4578.78,ATM Withdrawal,Dining,443,10425.12,1
T00216,C0062,44,120962,3083.49,Bank Transfer,Electronics,323,45021.72,1
T00217,C0441,66,56268,1235.2,POS Swipe,Utilities,724,26196.78,0
T00218,C0134,58,110486,3454.95,ATM Withdrawal,Dining,474,5813.86,1
T00219,C0284,34,120424,2985.9,Bank Transfer,Fashion,624,20102.18,0
T00220,C0028,57,56788,2510.37,POS Swipe,Electronics,647,10417.35,0
T00221,C0108,48,95749,4881.05,POS Swipe,Groceries,317,10064.3,0
T00222,C0044,51,81049,3418.85,Bank Transfer,Utilities,343,25367.85,0
T00223,C0340,41,82493,1880.33,POS Swipe,Travel,454,33627.41,0
T00224,C0286,62,56027,4001.37,Bank Transfer,Utilities,676,45589.75,0
T00225,C0446,52,113547,4423.49,ATM Withdrawal,Dining,701,25157.88,0
T00226,C0331,65,62849,630.48,Bank Transfer,Fashion,524,48295.35,0
T00227,C0128,23,120127,1006.76,POS Swipe,Utilities,516,47087.58,0
T00228,C0348,36,37858,1085.05,ATM Withdrawal,Travel,330,43266.62,1
T00229,C0473,47,104162,3457.6,ATM Withdrawal,Groceries,358,25048.87,1
T00230,C0231,24,99003,3017.18,Online Purchase,Electronics,652,7131.11,0
T00231,C0190,27,72395,3096.86,Online Purchase,Fashion,744,10973.43,1
T00232,C0225,58,59758,4704.16,POS Swipe,Travel,534,32418.73,0
T00233,C0385,49,74312,3880.68,Bank Transfer,Dining,406,21145.57,0
T00234,C0377,51,88670,644.04,Bank Transfer,Dining,490,7425.4,0
T00235,C0283,45,136758,1740.8,POS Swipe,Dining,829,24001.8,0
T00236,C0446,32,102279,2179.79,ATM Withdrawal,Fashion,544,969.78,0
T00237,C0121,47,35434,1982.83,POS Swipe,Utilities,375,36721.38,1
T00238,C0116,54,84047,3348.2,POS Swipe,Fashion,846,3771.71,0
T00239,C0461,46,67775,4460.01,ATM Withdrawal,Dining,566,31492.77,0
T00240,C0233,39,95769,1533.73,Bank Transfer,Travel,616,39671.21,0
T00241,C0259,21,134682,2761.63,POS Swipe,Electronics,420,6718.93,0
T00242,C0359,37,86677,3948.1,Bank Transfer,Electronics,324,25980.07,0
T00243,C0198,49,103555,2084.01,POS Swipe,Fashion,731,38975.47,0
T00244,C0456,53,148379,844.75,ATM Withdrawal,Dining,459,13105.61,1
T00245,C0411,67,105920,2377.38,ATM Withdrawal,Groceries,413,8229.54,0
T00246,C0137,21,128439,280.84,Online Purchase,Fashion,801,16907.27,0
T00247,C0318,44,65734,4712.21,ATM Withdrawal,Dining,465,27779.49,0
T00248,C0165,34,121665,378.73,Online Purchase,Utilities,474,28806.45,0
T00249,C0225,29,108503,2195.09,POS Swipe,Electronics,300,6630.73,0
T00250,C0307,39,60603,2651.76,Bank Transfer,Electronics,385,22932.69,1
T00251,C0234,34,96708,4926.59,ATM Withdrawal,Electronics,619,13487.28,0
T00252,C0172,27,101926,834.28,ATM Withdrawal,Groceries,700,42117.01,0
T00253,C0152,18,88803,576.59,ATM Withdrawal,Dining,681,15747.4,0
T00254,C0463,39,59332,48.49,POS Swipe,Dining,617,41951.36,0
T00255,C0315,43,111703,782.08,Online Purchase,Dining,549,21485.37,0
T00256,C0374,35,41312,1040.33,POS Swipe,Dining,824,36356.63,0
T00257,C0160,67,113376,3154.75,Bank Transfer,Groceries,555,25552.01,0
T00258,C0096,31,104526,1102.44,POS Swipe,Travel,606,31135.93,0
T00259,C0472,64,64179,107.5,Bank Transfer,Fashion,443,19828.29,0
T00260,C0233,46,91442,4133.96,ATM Withdrawal,Fashion,690,38433.52,0
T00261,C0180,29,134332,1831.15,Bank Transfer,Dining,468,21316.95,0
T00262,C0113,53,137961,1771.71,Bank Transfer,Utilities,597,22927.34,0
T00263,C0318,52,60379,1515.88,Online Purchase,Electronics,532,25932.17,0
T00264,C0497,69,37297,4876.99,Bank Transfer,Groceries,570,41608.02,0
T00265,C0442,29,22011,854.73,Bank Transfer,Utilities,359,33003.01,1
T00266,C0052,24,136130,4491.7,POS Swipe,Utilities,595,17523.1,0
T00267,C0268,46,140234,3885.13,ATM Withdrawal,Dining,766,33548.95,0
T00268,C0295,28,64014,387.02,POS Swipe,Groceries,534,32157.09,0
T00269,C0386,50,132094,4933.71,POS Swipe,Fashion,533,46557.86,0
T00270,C0387,23,31738,1360.47,ATM Withdrawal,Electronics,667,42086.68,0
T00271,C0113,64,114333,497.42,ATM Withdrawal,Fashion,531,32407.6,0
T00272,C0101,32,67498,4147.42,Bank Transfer,Utilities,790,17141.2,0
T00273,C0113,49,147792,3534.84,Bank Transfer,Electronics,802,39000.86,0
T00274,C0440,68,31120,3088.01,Online Purchase,Travel,680,28802.89,0
T00275,C0081,28,136517,784.12,POS Swipe,Utilities,727,49264.97,0
T00276,C0187,40,28767,2395.09,ATM Withdrawal,Fashion,663,12450.56,0
T00277,C0113,43,42852,3903.88,Bank Transfer,Fashion,501,4074.83,0
T00278,C0002,51,99239,1521.6,ATM Withdrawal,Dining,445,3587.6,1
T00279,C0130,63,20929,1561.89,Bank Transfer,Fashion,756,32037.52,0
T00280,C0220,51,97487,20.69,Online Purchase,Groceries,434,46969.09,0
T00281,C0054,46,138387,875.35,Online Purchase,Utilities,563,196.4,0
T00282,C0343,21,111575,4377.65,ATM Withdrawal,Electronics,363,36315.98,0
T00283,C0485,34,146155,2211.52,Online Purchase,Fashion,790,32887.55,0
T00284,C0224,52,134149,4921.25,ATM Withdrawal,Dining,340,36641.98,0
T00285,C0225,30,115040,1981.56,Bank Transfer,Dining,595,17834.73,0
T00286,C0385,58,37438,3577.36,POS Swipe,Fashion,302,41042.77,0
T00287,C0403,56,68515,1413.19,Online Purchase,Groceries,409,2330.88,0
T00288,C0126,32,25744,1822.23,Bank Transfer,Dining,520,37796.01,0
T00289,C0130,46,103820,957.68,POS Swipe,Electronics,669,13426.89,0
T00290,C0053,46,62417,1738.58,POS Swipe,Utilities,667,23894.2,0
T00291,C0172,28,125284,2738.45,POS Swipe,Travel,735,41149.55,0
T00292,C0218,69,27069,4958.91,Bank Transfer,Groceries,303,13640.82,0
T00293,C0160,49,62359,3322.69,Bank Transfer,Dining,543,9341.85,1
T00294,C0198,19,39799,1000.23,ATM Withdrawal,Utilities,465,34097.53,1
T00295,C0416,64,118746,229.58,POS Swipe,Travel,325,26716.41,0
T00296,C0247,31,113762,636.15,POS Swipe,Fashion,694,25768.75,0
T00297,C0324,37,140906,2814.96,POS Swipe,Fashion,773,12912.8,0
T00298,C0439,39,90188,3826.98,ATM Withdrawal,Electronics,316,1840.53,1
T00299,C0203,28,109859,4702.39,POS Swipe,Travel,391,20572.43,0
T00300,C0184,44,142521,84.04,Bank Transfer,Fashion,782,5417.32,0
T00301,C0123,20,127674,2616.19,POS Swipe,Fashion,842,45308.86,0
T00302,C0401,34,27597,2356.98,Online Purchase,Dining,504,2158.39,0
T00303,C0255,61,67093,3281.99,Bank Transfer,Electronics,801,21639.38,0
T00304,C0294,45,57226,2800.1,ATM Withdrawal,Utilities,699,2707.05,0
T00305,C0280,46,92127,3436.76,POS Swipe,Fashion,506,4867.64,1
T00306,C0325,38,134650,3292.12,Online Purchase,Groceries,445,32977.45,0
T00307,C0372,64,111369,589.47,ATM Withdrawal,Groceries,400,32390.85,0
T00308,C0098,33,97362,3999.59,ATM Withdrawal,Utilities,540,1749.3,0
T00309,C0198,54,46417,620.55,Bank Transfer,Travel,462,156.46,0
T00310,C0470,37,38693,3494.16,ATM Withdrawal,Electronics,472,4033.02,0
T00311,C0395,23,99674,2083.65,ATM Withdrawal,Dining,801,38173.64,0
T00312,C0240,36,140956,2571.68,ATM Withdrawal,Groceries,846,29270.37,0
T00313,C0144,22,135598,4516.97,ATM Withdrawal,Groceries,583,2002.1,0
T00314,C0097,20,139028,4449.97,POS Swipe,Utilities,658,24456.04,0
T00315,C0201,18,147517,4090.19,POS Swipe,Travel,680,35630.26,0
T00316,C0124,55,73161,2553.19,POS Swipe,Travel,832,43460.67,0
T00317,C0187,32,141316,3682.52,POS Swipe,Utilities,462,46708.42,1
T00318,C0326,51,22169,2566.92,Online Purchase,Groceries,606,16439.28,0
T00319,C0464,52,104092,4348.68,POS Swipe,Electronics,638,6878.04,0
T00320,C0349,66,42052,2016.87,ATM Withdrawal,Groceries,354,11922.6,0
T00321,C0259,42,91849,4851.33,POS Swipe,Travel,632,38830.96,0
T00322,C0148,41,93851,4661.95,POS Swipe,Dining,426,48577.06,0
T00323,C0252,29,28036,3709.31,Bank Transfer,Groceries,542,23373.04,0
T00324,C0443,35,51778,1400.68,ATM Withdrawal,Electronics,708,15337.13,0
T00325,C0420,32,47734,662.61,POS Swipe,Fashion,802,21516.61,0
T00326,C0403,61,43173,4274.24,POS Swipe,Groceries,602,15310.18,0
T00327,C0346,33,50403,830.68,POS Swipe,Utilities,763,12898.73,0
T00328,C0451,44,86321,4272.03,Online Purchase,Fashion,534,29728.16,0
T00329,C0147,25,91675,2456.37,POS Swipe,Utilities,337,885.23,0
T00330,C0148,63,26344,2035.75,Bank Transfer,Utilities,438,13051.66,0
T00331,C0352,42,38800,4516.44,ATM Withdrawal,Utilities,494,33102.97,0
T00332,C0199,34,45372,3021.24,ATM Withdrawal,Groceries,826,1699.93,0
T00333,C0308,46,81516,2885.19,POS Swipe,Travel,300,4251.77,0
T00334,C0489,25,40538,2796.04,POS Swipe,Fashion,395,14740.47,0
T00335,C0417,32,83918,1858.99,POS Swipe,Electronics,712,43902.46,0
T00336,C0424,44,34973,3929.29,ATM Withdrawal,Travel,837,38267.82,0
T00337,C0128,63,91155,1267.73,ATM Withdrawal,Groceries,728,1205.62,0
T00338,C0039,67,120240,4694.78,Online Purchase,Utilities,534,25135.47,0
T00339,C0338,69,79500,4470.46,Bank Transfer,Electronics,648,13806.91,0
T00340,C0360,24,56575,1690.71,Online Purchase,Fashion,780,32467.42,0
T00341,C0129,20,125455,3648.67,Bank Transfer,Travel,695,36105.54,0
T00342,C0267,46,62261,2868.25,Online Purchase,Dining,650,43156.84,0
T00343,C0476,61,130659,1691.56,ATM Withdrawal,Travel,715,23823.27,0
T00344,C0441,41,47716,4942.67,Online Purchase,Electronics,350,49723.06,1
T00345,C0473,20,23236,131.06,Bank Transfer,Groceries,380,49001.31,0
T00346,C0434,37,35848,1266.97,POS Swipe,Fashion,335,44120.12,1
T00347,C0151,63,22352,2602.77,Bank Transfer,Electronics,366,28785.99,0
T00348,C0415,32,21932,2612.16,POS Swipe,Utilities,780,19960.52,0
T00349,C0478,42,96449,2946.72,ATM Withdrawal,Fashion,767,18282.88,0
T00350,C0298,47,28556,3759.62,Bank Transfer,Travel,441,705.03,1
T00351,C0099,31,106836,3119.27,Online Purchase,Electronics,655,12533.81,0
