rownames,year,species,species_latin,count,hours,count_per_hour,count_per_week,species_binary
41,1921,Cackling Goose,Branta hutchinsii,0,8.0,0.0,0.0,American Crow
42,1921,Canada Goose,Branta canadensis,0,8.0,0.0,0.0,American Crow
43,1921,Canvasback,Aythya valisineria,0,8.0,0.0,0.0,American Crow
44,1921,Carolina Wren,Thryothorus ludovicianus,0,8.0,0.0,0.0,American Crow
45,1921,Caspian Tern,Hydroprogne caspia,0,8.0,0.0,0.0,American Crow
46,1921,Cedar Waxwing,Bombycilla cedrorum,0,8.0,0.0,0.0,American Crow
47,1921,Chipping Sparrow,Spizella passerina,0,8.0,0.0,0.0,American Crow
48,1921,Common Eider,Somateria mollissima,0,8.0,0.0,0.0,American Crow
49,1921,Common Gallinule,Gallinula galeata,0,8.0,0.0,0.0,American Crow
50,1921,Common Goldeneye,Bucephala clangula,0,8.0,0.0,0.0,American Crow
51,1921,Common Grackle,Quiscalus quiscula,0,8.0,0.0,0.0,American Crow
52,1921,Common Loon,Gavia immer,0,8.0,0.0,0.0,American Crow
53,1921,Common Merganser,Mergus merganser,0,8.0,0.0,0.0,American Crow
54,1921,Common Raven,Corvus corax,0,8.0,0.0,0.0,American Crow
55,1921,Common Redpoll,Acanthis flammea,0,8.0,0.0,0.0,American Crow
56,1921,Common Snipe,Gallinago gallinago,0,8.0,0.0,0.0,American Crow
57,1921,Common Yellowthroat,Geothlypis trichas,0,8.0,0.0,0.0,American Crow
58,1921,Cooper's Hawk,Accipiter cooperii,0,8.0,0.0,0.0,American Crow
59,1921,Dark-eyed Junco,Junco hyemalis,0,8.0,0.0,0.0,American Crow
60,1921,Double-crested Cormorant,Phalacrocorax auritus,0,8.0,0.0,0.0,American Crow
61,1921,Downy Woodpecker,Picoides pubescens,2,8.0,0.25,42.0,American Crow
62,1921,Dunlin,Calidris alpina,0,8.0,0.0,0.0,American Crow
63,1921,Eared Grebe,Podiceps nigricollis,0,8.0,0.0,0.0,American Crow
64,1921,Eastern Bluebird,Sialia sialis,0,8.0,0.0,0.0,American Crow
65,1921,Eastern Meadowlark,Sturnella magna,0,8.0,0.0,0.0,American Crow
66,1921,Eastern Phoebe,Sayornis phoebe,0,8.0,0.0,0.0,American Crow
67,1921,Eastern Screech-Owl,Megascops asio,0,8.0,0.0,0.0,American Crow
68,1921,Eastern Towhee,Pipilo erythrophthalmus,0,8.0,0.0,0.0,American Crow
69,1921,European Starling,Sturnus vulgaris,0,8.0,0.0,0.0,American Crow
70,1921,Evening Grosbeak,Coccothraustes vespertinus,0,8.0,0.0,0.0,American Crow
71,1921,Field Sparrow,Spizella pusilla,0,8.0,0.0,0.0,American Crow
72,1921,Fox Sparrow,Passerella iliaca,0,8.0,0.0,0.0,American Crow
73,1921,Franklin's Gull,Leucophaeus pipixcan,0,8.0,0.0,0.0,American Crow
74,1921,Gadwall,Anas strepera,0,8.0,0.0,0.0,American Crow
75,1921,Glaucous Gull,Larus hyperboreus,0,8.0,0.0,0.0,American Crow
76,1921,Golden-crowned Kinglet,Regulus satrapa,0,8.0,0.0,0.0,American Crow
77,1921,Golden Eagle,Aquila chrysaetos,0,8.0,0.0,0.0,American Crow
78,1921,Gray Catbird,Dumetella carolinensis,0,8.0,0.0,0.0,American Crow
79,1921,Gray Jay,Perisoreus canadensis,1,8.0,0.125,21.0,American Crow
80,1921,Gray Partridge,Perdix perdix,0,8.0,0.0,0.0,American Crow
81,1921,Great Black-backed Gull,Larus marinus,0,8.0,0.0,0.0,American Crow
82,1921,Great Blue Heron,Ardea herodias,0,8.0,0.0,0.0,American Crow
83,1921,Great Gray Owl,Strix nebulosa,0,8.0,0.0,0.0,American Crow
84,1921,Great Horned Owl,Bubo virginianus,0,8.0,0.0,0.0,American Crow
85,1921,Greater Scaup,Aythya marila,0,8.0,0.0,0.0,American Crow
86,1921,Greater Yellowlegs,Tringa melanoleuca,0,8.0,0.0,0.0,American Crow
87,1921,Green-winged Teal,Anas crecca,0,8.0,0.0,0.0,American Crow
88,1921,Gyrfalcon,Falco rusticolus,0,8.0,0.0,0.0,American Crow
89,1921,Hairy Woodpecker,Picoides villosus,0,8.0,0.0,0.0,American Crow
90,1921,Harlequin Duck,Histrionicus histrionicus,0,8.0,0.0,0.0,American Crow
91,1921,Harris's Sparrow,Zonotrichia querula,0,8.0,0.0,0.0,American Crow
92,1921,Hermit Thrush,Catharus guttatus,0,8.0,0.0,0.0,American Crow
93,1921,Herring Gull,Larus argentatus,0,8.0,0.0,0.0,American Crow
94,1921,Hoary Redpoll,Acanthis hornemanni,0,8.0,0.0,0.0,American Crow
95,1921,Hooded Merganser,Lophodytes cucullatus,0,8.0,0.0,0.0,American Crow
96,1921,Horned Grebe,Podiceps auritus,0,8.0,0.0,0.0,American Crow
97,1921,Horned Lark,Eremophila alpestris,0,8.0,0.0,0.0,American Crow
98,1921,House Finch,Haemorhous mexicanus,0,8.0,0.0,0.0,American Crow
99,1921,House Sparrow,Passer domesticus,0,8.0,0.0,0.0,American Crow
100,1921,House Wren,Troglodytes aedon,0,8.0,0.0,0.0,American Crow
101,1921,Iceland Gull,Larus glaucoides,0,8.0,0.0,0.0,American Crow
102,1921,Killdeer,Charadrius vociferus,0,8.0,0.0,0.0,American Crow
103,1921,King Eider,Somateria spectabilis,0,8.0,0.0,0.0,American Crow
104,1921,Lapland Longspur,Calcarius lapponicus,0,8.0,0.0,0.0,American Crow
105,1921,Least Sandpiper,Calidris minutilla,0,8.0,0.0,0.0,American Crow
106,1921,Lesser Black-backed Gull,Larus fuscus,0,8.0,0.0,0.0,American Crow
107,1921,Lesser Scaup,Aythya affinis,0,8.0,0.0,0.0,American Crow
108,1921,Lesser Yellowlegs,Tringa flavipes,0,8.0,0.0,0.0,American Crow
109,1921,Lincoln's Sparrow,Melospiza lincolnii,0,8.0,0.0,0.0,American Crow
110,1921,Little Gull,Hydrocoloeus minutus,0,8.0,0.0,0.0,American Crow
111,1921,Long-eared Owl,Asio otus,0,8.0,0.0,0.0,American Crow
112,1921,Long-tailed Duck,Clangula hyemalis,0,8.0,0.0,0.0,American Crow
113,1921,Mallard,Anas platyrhynchos,0,8.0,0.0,0.0,American Crow
114,1921,Marsh Wren,Cistothorus palustris,0,8.0,0.0,0.0,American Crow
115,1921,Merlin,Falco columbarius,0,8.0,0.0,0.0,American Crow
116,1921,Mourning Dove,Zenaida macroura,0,8.0,0.0,0.0,American Crow
117,1921,Mute Swan,Cygnus olor,0,8.0,0.0,0.0,American Crow
118,1921,Nashville Warbler,Oreothlypis ruficapilla,0,8.0,0.0,0.0,American Crow
119,1921,Northern Bobwhite,Colinus virginianus,0,8.0,0.0,0.0,American Crow
120,1921,Northern Cardinal,Cardinalis cardinalis,0,8.0,0.0,0.0,American Crow
121,1921,Northern Flicker,Colaptes auratus,0,8.0,0.0,0.0,American Crow
122,1921,Northern Gannet,Morus bassanus,0,8.0,0.0,0.0,American Crow
123,1921,Northern Goshawk,Accipiter gentilis,0,8.0,0.0,0.0,American Crow
124,1921,Northern Harrier,Circus cyaneus,0,8.0,0.0,0.0,American Crow
125,1921,Northern Hawk Owl,Surnia ulula,0,8.0,0.0,0.0,American Crow
126,1921,Northern Mockingbird,Mimus polyglottos,0,8.0,0.0,0.0,American Crow
127,1921,Northern Pintail,Anas acuta,0,8.0,0.0,0.0,American Crow
128,1921,Northern Saw-whet Owl,Aegolius acadicus,0,8.0,0.0,0.0,American Crow
129,1921,Northern Shoveler,Anas clypeata,0,8.0,0.0,0.0,American Crow
130,1921,Northern Shrike,Lanius excubitor,0,8.0,0.0,0.0,American Crow
131,1921,Orange-crowned Warbler,Oreothlypis celata,0,8.0,0.0,0.0,American Crow
132,1921,Ovenbird,Seiurus aurocapilla,0,8.0,0.0,0.0,American Crow
133,1921,Pacific Loon,Gavia pacifica,0,8.0,0.0,0.0,American Crow
134,1921,Palm Warbler,Setophaga palmarum,0,8.0,0.0,0.0,American Crow
135,1921,Peregrine Falcon,Falco peregrinus,0,8.0,0.0,0.0,American Crow
136,1921,Pied-billed Grebe,Podilymbus podiceps,0,8.0,0.0,0.0,American Crow
137,1921,Pileated Woodpecker,Dryocopus pileatus,0,8.0,0.0,0.0,American Crow
138,1921,Pine Grosbeak,Pinicola enucleator,0,8.0,0.0,0.0,American Crow
139,1921,Pine Siskin,Spinus pinus,0,8.0,0.0,0.0,American Crow
140,1921,Pine Warbler,Setophaga pinus,0,8.0,0.0,0.0,American Crow
141,1921,Pomarine Jaeger,Stercorarius pomarinus,0,8.0,0.0,0.0,American Crow
142,1921,Purple Finch,Haemorhous purpureus,0,8.0,0.0,0.0,American Crow
143,1921,Purple Sandpiper,Calidris maritima,0,8.0,0.0,0.0,American Crow
144,1921,Red-bellied Woodpecker,Melanerpes carolinus,0,8.0,0.0,0.0,American Crow
145,1921,Red-breasted Merganser,Mergus serrator,0,8.0,0.0,0.0,American Crow
146,1921,Red-breasted Nuthatch,Sitta canadensis,0,8.0,0.0,0.0,American Crow
147,1921,Red-headed Woodpecker,Melanerpes erythrocephalus,0,8.0,0.0,0.0,American Crow
148,1921,Red-necked Grebe,Podiceps grisegena,0,8.0,0.0,0.0,American Crow
149,1921,Red-shouldered Hawk,Buteo lineatus,0,8.0,0.0,0.0,American Crow
150,1921,Red-tailed Hawk,Buteo jamaicensis,0,8.0,0.0,0.0,American Crow
151,1921,Red-throated Loon,Gavia stellata,0,8.0,0.0,0.0,American Crow
152,1921,Red-winged Blackbird,Agelaius phoeniceus,0,8.0,0.0,0.0,American Crow
153,1921,Red Crossbill,Loxia curvirostra,0,8.0,0.0,0.0,American Crow
154,1921,Redhead,Aythya americana,0,8.0,0.0,0.0,American Crow
155,1921,Ring-billed Gull,Larus delawarensis,0,8.0,0.0,0.0,American Crow
156,1921,Ring-necked Duck,Aythya collaris,0,8.0,0.0,0.0,American Crow
157,1921,Ring-necked Pheasant,Phasianus colchicus,0,8.0,0.0,0.0,American Crow
158,1921,Rock Pigeon,Columba livia,0,8.0,0.0,0.0,American Crow
159,1921,Rose-breasted Grosbeak,Pheucticus ludovicianus,0,8.0,0.0,0.0,American Crow
160,1921,Rough-legged Hawk,Buteo lagopus,0,8.0,0.0,0.0,American Crow
161,1921,Ruby-crowned Kinglet,Regulus calendula,0,8.0,0.0,0.0,American Crow
162,1921,Ruddy Duck,Oxyura jamaicensis,0,8.0,0.0,0.0,American Crow
163,1921,Ruddy Turnstone,Arenaria interpres,0,8.0,0.0,0.0,American Crow
164,1921,Ruffed Grouse,Bonasa umbellus,1,8.0,0.125,21.0,American Crow
165,1921,Rusty Blackbird,Euphagus carolinus,0,8.0,0.0,0.0,American Crow
166,1921,Sandhill Crane,Grus canadensis,0,8.0,0.0,0.0,American Crow
167,1921,Savannah Sparrow,Passerculus sandwichensis,0,8.0,0.0,0.0,American Crow
168,1921,Sharp-shinned Hawk,Accipiter striatus,0,8.0,0.0,0.0,American Crow
169,1921,Short-eared Owl,Asio flammeus,0,8.0,0.0,0.0,American Crow
170,1921,Snow Bunting,Plectrophenax nivalis,0,8.0,0.0,0.0,American Crow
171,1921,Snow Goose,Chen caerulescens,0,8.0,0.0,0.0,American Crow
172,1921,Snowy Owl,Bubo scandiacus,0,8.0,0.0,0.0,American Crow
173,1921,Song Sparrow,Melospiza melodia,0,8.0,0.0,0.0,American Crow
174,1921,Spotted Sandpiper,Actitis macularius,0,8.0,0.0,0.0,American Crow
175,1921,Surf Scoter,Melanitta perspicillata,0,8.0,0.0,0.0,American Crow
176,1921,Swainson's Thrush,Catharus ustulatus,0,8.0,0.0,0.0,American Crow
177,1921,Swamp Sparrow,Melospiza georgiana,0,8.0,0.0,0.0,American Crow
178,1921,Thayer's Gull,Larus thayeri,0,8.0,0.0,0.0,American Crow
179,1921,Thick-billed Murre,Uria lomvia,0,8.0,0.0,0.0,American Crow
180,1921,Trumpeter Swan,Cygnus buccinator,0,8.0,0.0,0.0,American Crow
181,1921,Tufted Duck,Aythya fuligula,0,8.0,0.0,0.0,American Crow
182,1921,Tufted Titmouse,Baeolophus bicolor,0,8.0,0.0,0.0,American Crow
183,1921,Tundra Swan,Cygnus columbianus,0,8.0,0.0,0.0,American Crow
184,1921,Turkey Vulture,Cathartes aura,0,8.0,0.0,0.0,American Crow
185,1921,Varied Thrush,Ixoreus naevius,0,8.0,0.0,0.0,American Crow
186,1921,Vesper Sparrow,Pooecetes gramineus,0,8.0,0.0,0.0,American Crow
187,1921,White-breasted Nuthatch,Sitta carolinensis,2,8.0,0.25,42.0,American Crow
188,1921,White-crowned Sparrow,Zonotrichia leucophrys,0,8.0,0.0,0.0,American Crow
189,1921,White-throated Sparrow,Zonotrichia albicollis,0,8.0,0.0,0.0,American Crow
190,1921,White-winged Crossbill,Loxia leucoptera,0,8.0,0.0,0.0,American Crow
191,1921,White-winged Scoter,Melanitta fusca,0,8.0,0.0,0.0,American Crow
192,1921,Whooper Swan,Cygnus cygnus,0,8.0,0.0,0.0,American Crow
193,1921,Wild Turkey,Meleagris gallopavo,0,8.0,0.0,0.0,American Crow
194,1921,Wilson's Warbler,Cardellina pusilla,0,8.0,0.0,0.0,American Crow
195,1921,Winter Wren,Troglodytes hiemalis,0,8.0,0.0,0.0,American Crow
196,1921,Wood Duck,Aix sponsa,0,8.0,0.0,0.0,American Crow
197,1921,Yellow-bellied Sapsucker,Sphyrapicus varius,0,8.0,0.0,0.0,American Crow
198,1921,Yellow-breasted Chat,Icteria virens,0,8.0,0.0,0.0,American Crow
199,1921,Yellow-rumped Warbler,Setophaga coronata,0,8.0,0.0,0.0,American Crow
200,1922,American Bittern,Botaurus lentiginosus,0,,,,American Crow
201,1922,American Black Duck,Anas rubripes,0,,,,American Crow
202,1922,American Coot,Fulica americana,0,,,,American Coot
203,1922,American Crow,Corvus brachyrhynchos,0,,,,American Crow
204,1922,American Goldfinch,Spinus tristis,0,,,,American Crow
205,1922,American Kestrel,Falco sparverius,0,,,,American Crow
206,1922,American Pipit,Anthus rubescens,0,,,,American Crow
207,1922,American Robin,Turdus migratorius,2,,,,American Crow
208,1922,American Three-toed Woodpecker,Picoides dorsalis,0,,,,American Crow
209,1922,American Tree Sparrow,Spizelloides arborea,119,,,,American Crow
210,1922,American Wigeon,Anas americana,0,,,,American Crow
211,1922,American Woodcock,Scolopax minor,0,,,,American Crow
212,1922,Bald Eagle,Haliaeetus leucocephalus,0,,,,American Crow
213,1922,Baltimore Oriole,Icterus galbula,0,,,,American Crow
214,1922,Barn Owl,Tyto alba,0,,,,American Crow
215,1922,Barn Swallow,Hirundo rustica,0,,,,American Crow
216,1922,Barred Owl,Strix varia,0,,,,American Crow
217,1922,Barrow's Goldeneye,Bucephala islandica,0,,,,American Crow
218,1922,Belted Kingfisher,Megaceryle alcyon,0,,,,American Crow
219,1922,Black-and-white Warbler,Mniotilta varia,0,,,,American Crow
220,1922,Black-backed Woodpecker,Picoides arcticus,0,,,,American Crow
221,1922,Black-capped Chickadee,Poecile atricapillus,26,,,,American Crow
222,1922,Black-crowned Night-Heron,Nycticorax nycticorax,0,,,,American Crow
223,1922,Black-headed Grosbeak,Pheucticus melanocephalus,0,,,,American Crow
224,1922,Black-legged Kittiwake,Rissa tridactyla,0,,,,American Crow
225,1922,Black-throated Gray Warbler,Setophaga nigrescens,0,,,,American Crow
226,1922,Black Scoter,Melanitta americana,0,,,,American Crow
227,1922,Black Vulture,Coragyps atratus,0,,,,American Crow
228,1922,Blue-gray Gnatcatcher,Polioptila caerulea,0,,,,American Crow
229,1922,Blue-winged Teal,Anas discors,0,,,,American Crow
230,1922,Blue Jay,Cyanocitta cristata,13,,,,American Crow
231,1922,Bohemian Waxwing,Bombycilla garrulus,0,,,,American Crow
232,1922,Bonaparte's Gull,Chroicocephalus philadelphia,0,,,,American Crow
233,1922,Boreal Chickadee,Poecile hudsonicus,0,,,,American Crow
234,1922,Boreal Owl,Aegolius funereus,0,,,,American Crow
235,1922,Brant,Branta bernicla,0,,,,American Crow
236,1922,Brown-headed Cowbird,Molothrus ater,0,,,,American Crow
237,1922,Brown Creeper,Certhia americana,9,,,,American Crow
238,1922,Brown Thrasher,Toxostoma rufum,0,,,,American Crow
239,1922,Bufflehead,Bucephala albeola,0,,,,American Crow
240,1922,Cackling Goose,Branta hutchinsii,0,,,,American Crow
241,1922,Canada Goose,Branta canadensis,0,,,,American Crow
242,1922,Canvasback,Aythya valisineria,0,,,,American Crow
243,1922,Carolina Wren,Thryothorus ludovicianus,0,,,,American Crow
244,1922,Caspian Tern,Hydroprogne caspia,0,,,,American Crow
245,1922,Cedar Waxwing,Bombycilla cedrorum,12,,,,American Crow
246,1922,Chipping Sparrow,Spizella passerina,0,,,,American Crow
247,1922,Common Eider,Somateria mollissima,0,,,,American Crow
248,1922,Common Gallinule,Gallinula galeata,0,,,,American Crow
249,1922,Common Goldeneye,Bucephala clangula,0,,,,American Crow
250,1922,Common Grackle,Quiscalus quiscula,0,,,,American Crow
251,1922,Common Loon,Gavia immer,0,,,,American Crow
252,1922,Common Merganser,Mergus merganser,0,,,,American Crow
253,1922,Common Raven,Corvus corax,0,,,,American Crow
254,1922,Common Redpoll,Acanthis flammea,0,,,,American Crow
255,1922,Common Snipe,Gallinago gallinago,0,,,,American Crow
256,1922,Common Yellowthroat,Geothlypis trichas,0,,,,American Crow
257,1922,Cooper's Hawk,Accipiter cooperii,0,,,,American Crow
258,1922,Dark-eyed Junco,Junco hyemalis,0,,,,American Crow
259,1922,Double-crested Cormorant,Phalacrocorax auritus,0,,,,American Crow
260,1922,Downy Woodpecker,Picoides pubescens,23,,,,American Crow
261,1922,Dunlin,Calidris alpina,0,,,,American Crow
262,1922,Eared Grebe,Podiceps nigricollis,0,,,,American Crow
263,1922,Eastern Bluebird,Sialia sialis,0,,,,American Crow
264,1922,Eastern Meadowlark,Sturnella magna,0,,,,American Crow
265,1922,Eastern Phoebe,Sayornis phoebe,0,,,,American Crow
266,1922,Eastern Screech-Owl,Megascops asio,0,,,,American Crow
267,1922,Eastern Towhee,Pipilo erythrophthalmus,0,,,,American Crow
268,1922,European Starling,Sturnus vulgaris,0,,,,American Crow
269,1922,Evening Grosbeak,Coccothraustes vespertinus,0,,,,American Crow
270,1922,Field Sparrow,Spizella pusilla,0,,,,American Crow
271,1922,Fox Sparrow,Passerella iliaca,0,,,,American Crow
272,1922,Franklin's Gull,Leucophaeus pipixcan,0,,,,American Crow
273,1922,Gadwall,Anas strepera,0,,,,American Crow
274,1922,Glaucous Gull,Larus hyperboreus,0,,,,American Crow
275,1922,Golden-crowned Kinglet,Regulus satrapa,28,,,,American Crow
276,1922,Golden Eagle,Aquila chrysaetos,0,,,,American Crow
277,1922,Gray Catbird,Dumetella carolinensis,0,,,,American Crow
278,1922,Gray Jay,Perisoreus canadensis,0,,,,American Crow
279,1922,Gray Partridge,Perdix perdix,0,,,,American Crow
280,1922,Great Black-backed Gull,Larus marinus,0,,,,American Crow
281,1922,Great Blue Heron,Ardea herodias,0,,,,American Crow
282,1922,Great Gray Owl,Strix nebulosa,0,,,,American Crow
283,1922,Great Horned Owl,Bubo virginianus,0,,,,American Crow
284,1922,Greater Scaup,Aythya marila,0,,,,American Crow
285,1922,Greater Yellowlegs,Tringa melanoleuca,0,,,,American Crow
286,1922,Green-winged Teal,Anas crecca,0,,,,American Crow
287,1922,Gyrfalcon,Falco rusticolus,0,,,,American Crow
288,1922,Hairy Woodpecker,Picoides villosus,6,,,,American Crow
289,1922,Harlequin Duck,Histrionicus histrionicus,0,,,,American Crow
290,1922,Harris's Sparrow,Zonotrichia querula,0,,,,American Crow
291,1922,Hermit Thrush,Catharus guttatus,0,,,,American Crow
292,1922,Herring Gull,Larus argentatus,268,,,,American Crow
293,1922,Hoary Redpoll,Acanthis hornemanni,0,,,,American Crow
294,1922,Hooded Merganser,Lophodytes cucullatus,0,,,,American Crow
295,1922,Horned Grebe,Podiceps auritus,0,,,,American Crow
296,1922,Horned Lark,Eremophila alpestris,0,,,,American Crow
297,1922,House Finch,Haemorhous mexicanus,0,,,,American Crow
298,1922,House Sparrow,Passer domesticus,0,,,,American Crow
299,1922,House Wren,Troglodytes aedon,0,,,,American Crow
300,1922,Iceland Gull,Larus glaucoides,0,,,,American Crow
301,1922,Killdeer,Charadrius vociferus,0,,,,American Crow
302,1922,King Eider,Somateria spectabilis,0,,,,American Crow
303,1922,Lapland Longspur,Calcarius lapponicus,0,,,,American Crow
304,1922,Least Sandpiper,Calidris minutilla,0,,,,American Crow
305,1922,Lesser Black-backed Gull,Larus fuscus,0,,,,American Crow
306,1922,Lesser Scaup,Aythya affinis,0,,,,American Crow
307,1922,Lesser Yellowlegs,Tringa flavipes,0,,,,American Crow
308,1922,Lincoln's Sparrow,Melospiza lincolnii,0,,,,American Crow
309,1922,Little Gull,Hydrocoloeus minutus,0,,,,American Crow
310,1922,Long-eared Owl,Asio otus,0,,,,American Crow
311,1922,Long-tailed Duck,Clangula hyemalis,0,,,,American Crow
312,1922,Mallard,Anas platyrhynchos,0,,,,American Crow
313,1922,Marsh Wren,Cistothorus palustris,0,,,,American Crow
314,1922,Merlin,Falco columbarius,0,,,,American Crow
315,1922,Mourning Dove,Zenaida macroura,0,,,,American Crow
316,1922,Mute Swan,Cygnus olor,0,,,,American Crow
317,1922,Nashville Warbler,Oreothlypis ruficapilla,0,,,,American Crow
318,1922,Northern Bobwhite,Colinus virginianus,0,,,,American Crow
319,1922,Northern Cardinal,Cardinalis cardinalis,0,,,,American Crow
320,1922,Northern Flicker,Colaptes auratus,1,,,,American Crow
321,1922,Northern Gannet,Morus bassanus,0,,,,American Crow
322,1922,Northern Goshawk,Accipiter gentilis,0,,,,American Crow
323,1922,Northern Harrier,Circus cyaneus,0,,,,American Crow
324,1922,Northern Hawk Owl,Surnia ulula,0,,,,American Crow
325,1922,Northern Mockingbird,Mimus polyglottos,0,,,,American Crow
326,1922,Northern Pintail,Anas acuta,0,,,,American Crow
327,1922,Northern Saw-whet Owl,Aegolius acadicus,0,,,,American Crow
328,1922,Northern Shoveler,Anas clypeata,0,,,,American Crow
329,1922,Northern Shrike,Lanius excubitor,0,,,,American Crow
330,1922,Orange-crowned Warbler,Oreothlypis celata,0,,,,American Crow
331,1922,Ovenbird,Seiurus aurocapilla,0,,,,American Crow
332,1922,Pacific Loon,Gavia pacifica,0,,,,American Crow
333,1922,Palm Warbler,Setophaga palmarum,0,,,,American Crow
334,1922,Peregrine Falcon,Falco peregrinus,0,,,,American Crow
335,1922,Pied-billed Grebe,Podilymbus podiceps,0,,,,American Crow
336,1922,Pileated Woodpecker,Dryocopus pileatus,0,,,,American Crow
337,1922,Pine Grosbeak,Pinicola enucleator,0,,,,American Crow
338,1922,Pine Siskin,Spinus pinus,87,,,,American Crow
339,1922,Pine Warbler,Setophaga pinus,0,,,,American Crow
340,1922,Pomarine Jaeger,Stercorarius pomarinus,0,,,,American Crow
341,1922,Purple Finch,Haemorhous purpureus,20,,,,American Crow
342,1922,Purple Sandpiper,Calidris maritima,0,,,,American Crow
343,1922,Red-bellied Woodpecker,Melanerpes carolinus,0,,,,American Crow
344,1922,Red-breasted Merganser,Mergus serrator,0,,,,American Crow
345,1922,Red-breasted Nuthatch,Sitta canadensis,0,,,,American Crow
346,1922,Red-headed Woodpecker,Melanerpes erythrocephalus,0,,,,American Crow
347,1922,Red-necked Grebe,Podiceps grisegena,0,,,,American Crow
348,1922,Red-shouldered Hawk,Buteo lineatus,0,,,,American Crow
349,1922,Red-tailed Hawk,Buteo jamaicensis,0,,,,American Crow
350,1922,Red-throated Loon,Gavia stellata,0,,,,American Crow
351,1922,Red-winged Blackbird,Agelaius phoeniceus,0,,,,American Crow
352,1922,Red Crossbill,Loxia curvirostra,7,,,,American Crow
353,1922,Redhead,Aythya americana,0,,,,American Crow
354,1922,Ring-billed Gull,Larus delawarensis,0,,,,American Crow
355,1922,Ring-necked Duck,Aythya collaris,0,,,,American Crow
356,1922,Ring-necked Pheasant,Phasianus colchicus,0,,,,American Crow
357,1922,Rock Pigeon,Columba livia,0,,,,American Crow
358,1922,Rose-breasted Grosbeak,Pheucticus ludovicianus,0,,,,American Crow
359,1922,Rough-legged Hawk,Buteo lagopus,0,,,,American Crow
360,1922,Ruby-crowned Kinglet,Regulus calendula,3,,,,American Crow
